10;0,1830;1,1300;2,1330;3,2015;0,2030;1,1530;2,1530;0,1730;1,1730;2,2015;
ttttttttt;20160805:5:2:6:6:3:7:7:7:4;10:2;5:6;13:14;16:3;9:15;8:18;11:17;12:7;1:4;
ttttttttt;20160812:1:1:5:2:6:3:7:7:4;3:11;17:13;14:1;7:5;4:8;2:9;15:12;18:10;6:16;
ttttttttt;20160826:1:1:1:2:2:3:3:3:4;5:2;11:18;13:1;7:15;9:17;8:3;12:6;16:4;10:14;
ttttttttt;20160909:1:1:1:2:2:3:3:3:4;1:11;17:8;18:5;4:12;6:7;2:16;13:10;14:9;3:15;
ttttttttt;20160916:1:1:1:2:2:2:3:3:3;5:3;9:18;15:6;8:13;10:1;11:14;7:4;12:2;16:17;
ttttttttt;20160920:8:8:8:8:9:9:9:9:10;1:8;3:9;13:11;14:5;2:7;10:16;17:12;18:6;4:15;
ttttttttt;20160923:1:1:1:2:2:3:3:3:4;5:1;8:14;9:13;7:17;11:10;12:3;15:2;16:18;6:4;
ttttttttt;20160930:1:1:1:2:2:3:3:3:4;3:6;13:16;17:5;2:4;14:7;10:12;11:8;18:15;1:9;
ttttttttt;20161014:1:1:1:2:2:3:3:3:4;4:17;5:13;9:11;12:18;16:1;6:2;7:3;15:14;8:10;
ttttttttt;20161021:1:1:1:2:2:3:3:3:4;1:15;14:12;18:7;11:16;13:4;3:2;8:9;17:6;10:5;
ttttttttt;20161028:1:1:1:2:2:3:3:3:4;12:13;15:17;16:8;6:14;9:10;2:18;5:11;7:1;4:3;
ttttttttt;20161104:1:1:1:2:2:3:3:3:4;11:7;14:16;17:3;9:5;10:6;1:12;8:2;13:15;18:4;
ttttttttt;20161118:1:1:1:2:2:3:3:3:4;3:18;5:8;12:11;2:17;7:13;4:14;6:1;16:9;15:10;
ttttttttt;20161125:1:1:1:2:2:3:3:3:4;9:12;14:2;18:17;11:4;16:5;8:15;10:7;13:6;1:3;
ttttttttt;20161202:0:0:0:0:0:0:0:0:0;2:11;3:13;4:10;6:8;7:9;12:5;15:16;17:1;18:14;
ttttttttt;20161209:0:0:0:0:0:0:0:0:0;1:2;5:15;8:12;9:4;10:17;11:6;13:18;14:3;16:7;
ttttttttt;20161216:0:0:0:0:0:0:0:0:0;2:13;3:10;4:5;6:9;7:8;12:16;15:11;17:14;18:1;
ttttttttt;20170127:0:0:0:0:0:0:0:0:0;2:10;3:16;4:1;6:5;7:12;14:13;15:9;17:11;18:8;
ttttttttt;20170203:0:0:0:0:0:0:0:0:0;1:14;5:7;8:4;9:2;10:18;11:3;12:15;13:17;16:6;
ttttttttt;20170210:0:0:0:0:0:0:0:0:0;1:13;2:5;3:8;4:16;6:12;14:10;15:7;17:9;18:11;
ttttttttt;20170217:0:0:0:0:0:0:0:0:0;5:18;7:6;8:17;9:14;10:13;11:1;12:4;15:3;16:2;
ttttttttt;20170224:0:0:0:0:0:0:0:0:0;1:10;2:12;3:5;4:7;6:15;13:8;14:11;17:16;18:9;
ttttttttt;20170303:0:0:0:0:0:0:0:0:0;5:14;6:18;7:2;8:1;9:3;11:13;12:17;15:4;16:10;
ttttttttt;20170310:0:0:0:0:0:0:0:0:0;1:5;2:15;3:12;4:6;10:11;13:9;14:8;17:7;18:16;
ttttttttt;20170317:0:0:0:0:0:0:0:0:0;4:2;5:17;6:3;7:14;8:11;9:1;12:10;15:18;16:13;
ttttttttt;20170331:0:0:0:0:0:0:0:0:0;1:16;2:6;3:7;10:8;11:9;13:5;14:15;17:4;18:12;
ttttttttt;20170404:0:0:0:0:0:0:0:0:0;2:3;4:13;5:10;6:17;7:18;9:8;12:14;15:1;16:11;
ttttttttt;20170407:0:0:0:0:0:0:0:0:0;1:7;3:4;8:16;10:9;11:5;13:12;14:6;17:15;18:2;
ttttttttt;20170414:0:0:0:0:0:0:0:0:0;2:8;3:17;4:18;5:9;6:10;7:11;12:1;15:13;16:14;
ttttttttt;20170421:0:0:0:0:0:0:0:0:0;1:6;8:5;9:16;10:15;11:12;13:7;14:4;17:2;18:3;
ttttttttt;20170428:0:0:0:0:0:0:0:0:0;2:14;3:1;4:11;5:16;6:13;7:10;12:9;15:8;17:18;
ttttttttt;20170505:0:0:0:0:0:0:0:0:0;1:17;5:12;8:6;9:7;10:4;11:2;13:3;14:18;16:15;
ttttttttt;20170512:0:0:0:0:0:0:0:0:0;2:1;3:14;4:9;6:11;7:16;12:8;15:5;17:10;18:13;
ttttttttt;20170519:0:0:0:0:0:0:0:0:0;1:18;5:4;8:7;9:6;10:3;11:15;13:2;14:17;16:12;
