10;0,1830;1,1300;2,1330;3,2015;0,2030;1,1530;2,1530;0,1730;1,1730;2,2015;
ttttttttt;20140801:4:1:5:5:2:6:6:6:3;6:2;17:11;8:10;15:3;16:13;1:14;5:9;18:12;4:7;
ttttttttt;20140808:0:0:4:5:5:2:6:6:3;11:8;13:5;9:6;2:16;14:15;10:18;7:17;12:4;3:1;
ttttttttt;20140822:0:0:0:1:1:2:2:2:3;8:12;16:7;17:14;1:13;6:5;4:2;10:3;18:11;15:9;
ttttttttt;20140829:0:0:0:1:1:2:2:2:3;9:1;11:4;13:17;5:16;14:6;2:15;7:18;12:10;3:8;
ttttttttt;20140912:0:0:0:1:1:2:2:2:3;4:13;10:11;15:5;17:2;18:14;8:7;12:3;16:9;1:6;
ttttttttt;20140919:0:0:0:1:1:1:2:2:2;2:18;11:12;14:8;3:4;7:10;13:15;5:1;6:16;9:17;
ttttttttt;20140923:7:7:7:7:8:8:8:8:9;3:11;8:2;10:14;12:7;4:9;16:1;17:5;18:13;15:6;
ttttttttt;20140926:0:0:0:1:1:2:2:2:3;2:12;7:3;14:11;5:10;9:18;6:17;13:8;16:15;1:4;
ttttttttt;20141003:0:0:0:1:1:2:2:2:3;3:14;11:7;15:1;4:5;8:9;10:2;12:13;18:6;17:16;
ttttttttt;20141017:0:0:4:1:1:2:2:2:3;15:18;16:4;1:17;2:3;9:12;5:11;13:10;14:7;6:8;
ttttttttt;20141024:0:0:0:1:1:2:2:2:3;3:13;11:9;17:15;4:6;8:5;7:2;10:16;12:14;18:1;
ttttttttt;20141031:0:0:0:1:1:2:2:2:3;5:12;6:10;9:3;1:8;16:18;2:11;13:14;15:7;17:4;
ttttttttt;20141107:0:0:0:1:1:2:2:2:3;4:15;11:13;12:1;8:16;18:17;3:5;10:9;14:2;7:6;
ttttttttt;20141121:0:0:4:1:1:2:2:2:3;15:11;16:12;4:18;9:7;13:2;1:10;5:14;17:8;6:3;
ttttttttt;20141128:0:0:0:1:1:2:2:2:3;3:16;14:9;18:5;10:15;11:6;7:13;8:4;12:17;2:1;
ttttttttt;20141205:0:0:0:1:1:2:2:2:3;6:12;15:8;16:11;4:14;18:3;5:2;9:13;17:10;1:7;
ttttttttt;20141212:0:0:0:1:1:1:2:2:2;3:17;12:15;14:16;2:9;7:5;13:6;8:18;10:4;11:1;
ttttttttt;20141216:7:7:7:7:8:8:8:8:8;2:6;3:15;9:5;13:16;7:4;10:8;11:17;12:18;14:1;
ttttttttt;20141219:0:0:0:1:1:2:2:2:3;5:13;6:9;16:2;1:3;8:11;4:12;15:14;18:10;17:7;
ttttttttt;20150206:0:0:0:1:1:2:2:2:3;3:10;11:18;14:17;9:15;12:8;2:4;5:6;13:1;7:16;
ttttttttt;20150213:0:0:0:1:1:2:2:2:3;6:14;15:2;16:5;4:11;10:12;1:9;17:13;18:7;8:3;
ttttttttt;20150220:0:0:0:1:1:2:2:2:3;3:12;11:10;14:18;5:15;7:8;6:1;9:16;13:4;2:17;
ttttttttt;20150227:0:0:0:1:1:2:2:2:3;4:3;15:13;18:2;1:5;12:11;8:14;16:6;17:9;10:7;
ttttttttt;20150306:0:0:0:1:1:2:2:2:3;1:16;6:15;14:10;2:8;11:3;7:12;9:4;13:18;5:17;
ttttttttt;20150313:0:0:0:1:1:2:2:2:3;3:7;15:16;18:9;4:1;8:13;10:5;11:14;12:2;17:6;
ttttttttt;20150320:0:0:0:1:1:2:2:2:3;7:11;9:8;13:12;2:10;6:18;5:4;14:3;16:17;1:15;
ttttttttt;20150403:1:1:2:2:2:2:2:2:3;3:2;4:16;7:14;10:13;11:5;12:9;17:1;18:15;8:6;
ttttttttt;20150410:0:0:0:1:1:2:2:2:3;1:18;5:8;16:10;2:7;13:3;9:11;14:12;15:17;6:4;
ttttttttt;0:0:0:0:0:0:0:0:0:0;3:9;4:17;7:15;8:1;10:6;11:2;12:5;14:13;18:16;
ttttttttt;0:0:0:0:0:0:0:0:0:0;1:12;2:14;5:3;6:7;9:10;13:11;15:4;16:8;17:18;
ttttttttt;0:0:0:0:0:0:0:0:0:0;2:13;3:6;7:9;8:17;10:1;11:15;12:16;14:5;18:4;
ttttttttt;0:0:0:0:0:0:0:0:0:0;1:2;4:8;5:18;6:11;9:14;13:7;15:10;16:3;17:12;
ttttttttt;20150515:6:6:6:6:6:6:6:6:6;2:5;3:18;7:1;8:15;10:17;11:16;12:6;13:9;14:4;
ttttttttt;20150522:6:6:6:6:6:6:6:6:6;1:11;4:10;5:7;6:13;9:2;15:12;16:14;17:3;18:8;
